,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,precook-25,2025-12-25T22:59:38.000,200.0,200.0,72.0,0.0,0.0,0.0,28.0
2,precook-25,2025-12-25T23:00:38.000,200.0,200.0,73.0,0.0,0.0,0.0,28.0
3,precook-25,2025-12-25T23:01:38.000,200.0,200.0,74.0,0.0,0.0,0.0,27.0
4,precook-25,2025-12-25T23:02:38.000,200.0,200.0,75.0,0.0,0.0,0.0,27.0
5,precook-25,2025-12-25T23:03:38.000,200.0,200.0,76.0,0.0,0.0,0.0,26.0
6,precook-25,2025-12-25T23:04:38.000,200.0,200.0,77.0,0.0,0.0,0.0,26.0
7,precook-25,2025-12-25T23:05:38.000,200.0,200.0,78.0,0.0,0.0,0.0,25.0
8,precook-25,2025-12-25T23:06:38.000,200.0,200.0,79.0,0.0,0.0,0.0,25.0
9,precook-25,2025-12-25T23:07:38.000,200.0,200.0,80.0,0.0,0.0,0.0,25.0
10,precook-25,2025-12-25T23:08:38.000,200.0,200.0,81.0,0.0,0.0,0.0,24.0
11,precook-25,2025-12-25T23:09:38.000,200.0,200.0,81.0,0.0,0.0,0.0,24.0
12,precook-25,2025-12-25T23:10:38.000,200.0,200.0,82.0,0.0,0.0,0.0,24.0
13,precook-25,2025-12-25T23:11:38.000,200.0,200.0,83.0,0.0,0.0,0.0,24.0
14,precook-25,2025-12-25T23:12:38.000,200.0,200.0,83.0,0.0,0.0,0.0,24.0
15,precook-25,2025-12-25T23:13:38.000,200.0,200.0,84.0,0.0,0.0,0.0,24.0
16,precook-25,2025-12-25T23:14:38.000,200.0,200.0,84.0,0.0,0.0,0.0,24.0
17,precook-25,2025-12-25T23:15:38.000,200.0,200.0,85.0,0.0,0.0,0.0,24.0
18,precook-25,2025-12-25T23:16:38.000,200.0,200.0,85.0,0.0,0.0,0.0,24.0
19,precook-25,2025-12-25T23:17:38.000,200.0,200.0,85.0,0.0,0.0,0.0,23.0
20,precook-25,2025-12-25T23:18:38.000,200.0,200.0,86.0,0.0,0.0,0.0,23.0
21,precook-25,2025-12-25T23:19:38.000,200.0,200.0,86.0,0.0,0.0,0.0,23.0
22,precook-25,2025-12-25T23:20:38.000,200.0,200.0,86.0,0.0,0.0,0.0,23.0
23,precook-25,2025-12-25T23:21:38.000,200.0,200.0,87.0,0.0,0.0,0.0,22.0
24,precook-25,2025-12-25T23:22:38.000,200.0,200.0,87.0,0.0,0.0,0.0,22.0
25,precook-25,2025-12-25T23:23:38.000,200.0,200.0,87.0,0.0,0.0,0.0,22.0
26,precook-25,2025-12-25T23:24:38.000,200.0,200.0,87.0,0.0,0.0,0.0,22.0
27,precook-25,2025-12-25T23:25:38.000,200.0,200.0,88.0,0.0,0.0,0.0,22.0
28,precook-25,2025-12-25T23:26:38.000,200.0,200.0,88.0,0.0,0.0,0.0,22.0
29,precook-25,2025-12-25T23:27:38.000,200.0,200.0,88.0,0.0,0.0,0.0,22.0
30,precook-25,2025-12-25T23:28:38.000,200.0,200.0,88.0,0.0,0.0,0.0,22.0
