,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,aftercook-22,2025-12-22T13:36:33.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
2,aftercook-22,2025-12-22T13:37:33.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
3,aftercook-22,2025-12-22T13:38:33.000,200.0,200.0,86.0,1.0,1.0,1.0,18.0
4,aftercook-22,2025-12-22T13:39:33.000,200.0,200.0,86.0,2.0,2.0,2.0,18.0
5,aftercook-22,2025-12-22T13:40:33.000,200.0,200.0,87.0,14.0,16.0,15.0,19.0
6,aftercook-22,2025-12-22T13:41:33.000,200.0,200.0,87.0,45.0,85.0,52.0,19.0
7,aftercook-22,2025-12-22T13:42:33.000,200.0,200.0,87.0,50.0,99.0,59.0,19.0
8,aftercook-22,2025-12-22T13:43:33.000,200.0,200.0,88.0,47.0,89.0,54.0,19.0
9,aftercook-22,2025-12-22T13:44:33.000,200.0,200.0,88.0,45.0,84.0,52.0,19.0
10,aftercook-22,2025-12-22T13:45:33.000,200.0,200.0,89.0,43.0,80.0,49.0,19.0
11,aftercook-22,2025-12-22T13:46:33.000,200.0,200.0,89.0,40.0,73.0,46.0,19.0
12,aftercook-22,2025-12-22T13:47:33.000,200.0,200.0,89.0,37.0,65.0,42.0,19.0
13,aftercook-22,2025-12-22T13:48:33.000,200.0,200.0,89.0,36.0,62.0,40.0,19.0
14,aftercook-22,2025-12-22T13:49:33.000,200.0,200.0,89.0,33.0,54.0,37.0,19.0
15,aftercook-22,2025-12-22T13:50:33.000,200.0,200.0,89.0,31.0,49.0,34.0,19.0
16,aftercook-22,2025-12-22T13:51:33.000,200.0,200.0,89.0,27.0,40.0,29.0,19.0
17,aftercook-22,2025-12-22T13:52:33.000,200.0,200.0,89.0,23.0,32.0,26.0,20.0
18,aftercook-22,2025-12-22T13:53:33.000,200.0,200.0,89.0,23.0,31.0,25.0,20.0
19,aftercook-22,2025-12-22T13:54:33.000,200.0,200.0,89.0,20.0,25.0,22.0,20.0
20,aftercook-22,2025-12-22T13:55:33.000,200.0,200.0,89.0,21.0,26.0,23.0,19.0
21,aftercook-22,2025-12-22T13:56:33.000,200.0,200.0,89.0,19.0,22.0,20.0,19.0
22,aftercook-22,2025-12-22T13:57:33.000,200.0,200.0,89.0,16.0,18.0,18.0,19.0
23,aftercook-22,2025-12-22T13:58:33.000,200.0,200.0,89.0,16.0,19.0,18.0,19.0
24,aftercook-22,2025-12-22T13:59:33.000,200.0,200.0,88.0,17.0,19.0,18.0,19.0
25,aftercook-22,2025-12-22T14:00:33.000,200.0,200.0,88.0,14.0,16.0,15.0,19.0
26,aftercook-22,2025-12-22T14:01:33.000,200.0,200.0,88.0,13.0,15.0,15.0,19.0
27,aftercook-22,2025-12-22T14:02:33.000,200.0,200.0,88.0,14.0,16.0,15.0,19.0
28,aftercook-22,2025-12-22T14:03:33.000,200.0,200.0,88.0,12.0,14.0,14.0,19.0
29,aftercook-22,2025-12-22T14:04:33.000,200.0,200.0,88.0,11.0,13.0,12.0,19.0
30,aftercook-22,2025-12-22T14:05:33.000,200.0,200.0,88.0,11.0,13.0,12.0,19.0
31,aftercook-22,2025-12-22T14:06:33.000,200.0,200.0,88.0,10.0,12.0,11.0,19.0
32,aftercook-22,2025-12-22T14:07:33.000,200.0,200.0,88.0,9.0,10.0,10.0,18.0
33,aftercook-22,2025-12-22T14:08:33.000,200.0,200.0,88.0,8.0,10.0,9.0,18.0
34,aftercook-22,2025-12-22T14:09:33.000,200.0,200.0,88.0,8.0,10.0,9.0,18.0
35,aftercook-22,2025-12-22T14:10:33.000,200.0,200.0,88.0,8.0,9.0,8.0,18.0
36,aftercook-22,2025-12-22T14:11:33.000,200.0,200.0,88.0,7.0,8.0,7.0,18.0
