,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,precook-24,2025-12-24T15:38:02.000,200.0,200.0,74.0,0.0,0.0,0.0,29.0
2,precook-24,2025-12-24T15:39:02.000,200.0,200.0,74.0,0.0,0.0,0.0,27.0
3,precook-24,2025-12-24T15:40:02.000,200.0,200.0,75.0,0.0,0.0,0.0,26.0
4,precook-24,2025-12-24T15:41:02.000,200.0,200.0,77.0,0.0,0.0,0.0,25.0
5,precook-24,2025-12-24T15:42:02.000,200.0,200.0,78.0,0.0,0.0,0.0,24.0
6,precook-24,2025-12-24T15:43:02.000,200.0,200.0,78.0,0.0,0.0,0.0,24.0
7,precook-24,2025-12-24T15:44:02.000,200.0,200.0,79.0,0.0,0.0,0.0,23.0
8,precook-24,2025-12-24T15:45:02.000,200.0,200.0,80.0,0.0,0.0,0.0,23.0
9,precook-24,2025-12-24T15:46:02.000,200.0,200.0,81.0,0.0,0.0,0.0,22.0
10,precook-24,2025-12-24T15:47:02.000,200.0,200.0,81.0,0.0,0.0,0.0,22.0
11,precook-24,2025-12-24T15:48:02.000,200.0,200.0,82.0,0.0,0.0,0.0,22.0
12,precook-24,2025-12-24T15:49:02.000,200.0,200.0,82.0,0.0,0.0,0.0,21.0
13,precook-24,2025-12-24T15:50:02.000,200.0,200.0,82.0,0.0,0.0,0.0,21.0
14,precook-24,2025-12-24T15:51:02.000,200.0,200.0,83.0,0.0,0.0,0.0,21.0
15,precook-24,2025-12-24T15:52:02.000,200.0,200.0,83.0,0.0,0.0,0.0,21.0
16,precook-24,2025-12-24T15:53:02.000,200.0,200.0,83.0,0.0,0.0,0.0,21.0
17,precook-24,2025-12-24T15:54:02.000,200.0,200.0,84.0,0.0,0.0,0.0,20.0
18,precook-24,2025-12-24T15:55:02.000,200.0,200.0,84.0,0.0,0.0,0.0,20.0
19,precook-24,2025-12-24T15:56:02.000,200.0,200.0,84.0,0.0,0.0,0.0,20.0
20,precook-24,2025-12-24T15:57:02.000,200.0,200.0,84.0,0.0,0.0,0.0,20.0
21,precook-24,2025-12-24T15:58:02.000,200.0,200.0,85.0,0.0,0.0,0.0,20.0
22,precook-24,2025-12-24T15:59:02.000,200.0,200.0,85.0,0.0,0.0,0.0,20.0
23,precook-24,2025-12-24T16:00:02.000,200.0,200.0,85.0,0.0,0.0,0.0,20.0
24,precook-24,2025-12-24T16:01:01.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
25,precook-24,2025-12-24T16:02:01.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
26,precook-24,2025-12-24T16:03:01.000,200.0,200.0,85.0,2.0,3.0,3.0,19.0
