,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,precook-27,2025-12-27T14:43:08.000,200.0,200.0,71.0,0.0,0.0,0.0,27.0
2,precook-27,2025-12-27T14:44:08.000,200.0,200.0,71.0,0.0,0.0,0.0,27.0
3,precook-27,2025-12-27T14:45:08.000,200.0,200.0,72.0,0.0,0.0,0.0,27.0
4,precook-27,2025-12-27T14:46:08.000,200.0,200.0,72.0,0.0,0.0,0.0,26.0
5,precook-27,2025-12-27T14:47:08.000,200.0,200.0,73.0,0.0,0.0,0.0,26.0
6,precook-27,2025-12-27T14:48:08.000,200.0,200.0,74.0,0.0,0.0,0.0,26.0
7,precook-27,2025-12-27T14:49:08.000,200.0,200.0,74.0,0.0,0.0,0.0,25.0
8,precook-27,2025-12-27T14:50:08.000,200.0,200.0,75.0,0.0,0.0,0.0,25.0
9,precook-27,2025-12-27T14:51:08.000,200.0,200.0,75.0,0.0,0.0,0.0,25.0
10,precook-27,2025-12-27T14:52:08.000,200.0,200.0,75.0,0.0,0.0,0.0,24.0
11,precook-27,2025-12-27T14:53:08.000,200.0,200.0,76.0,0.0,0.0,0.0,24.0
12,precook-27,2025-12-27T14:54:08.000,200.0,200.0,76.0,0.0,0.0,0.0,24.0
13,precook-27,2025-12-27T14:55:08.000,200.0,200.0,76.0,0.0,0.0,0.0,24.0
14,precook-27,2025-12-27T14:56:08.000,200.0,200.0,77.0,0.0,0.0,0.0,24.0
15,precook-27,2025-12-27T14:57:08.000,200.0,200.0,77.0,0.0,0.0,0.0,24.0
16,precook-27,2025-12-27T14:58:08.000,200.0,200.0,77.0,0.0,0.0,0.0,23.0
17,precook-27,2025-12-27T14:59:08.000,200.0,200.0,77.0,0.0,0.0,0.0,23.0
18,precook-27,2025-12-27T15:00:08.000,200.0,200.0,78.0,0.0,0.0,0.0,23.0
19,precook-27,2025-12-27T15:01:07.000,200.0,200.0,78.0,0.0,0.0,0.0,23.0
20,precook-27,2025-12-27T15:02:07.000,200.0,200.0,78.0,0.0,0.0,0.0,23.0
21,precook-27,2025-12-27T15:03:07.000,200.0,200.0,78.0,0.0,0.0,0.0,23.0
