,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,precook-23,2025-12-23T18:14:52.000,200.0,200.0,74.0,0.0,0.0,0.0,33.0
2,precook-23,2025-12-23T18:15:52.000,200.0,200.0,75.0,0.0,0.0,0.0,32.0
3,precook-23,2025-12-23T18:16:52.000,200.0,200.0,76.0,0.0,0.0,0.0,32.0
4,precook-23,2025-12-23T18:17:52.000,200.0,200.0,77.0,0.0,0.0,0.0,31.0
5,precook-23,2025-12-23T18:18:52.000,200.0,200.0,78.0,0.0,0.0,0.0,30.0
6,precook-23,2025-12-23T18:19:52.000,200.0,200.0,78.0,0.0,0.0,0.0,30.0
7,precook-23,2025-12-23T18:20:52.000,200.0,200.0,79.0,0.0,0.0,0.0,29.0
8,precook-23,2025-12-23T18:21:52.000,200.0,200.0,80.0,0.0,0.0,0.0,29.0
9,precook-23,2025-12-23T18:22:52.000,200.0,200.0,80.0,0.0,0.0,0.0,29.0
10,precook-23,2025-12-23T18:23:52.000,200.0,200.0,81.0,0.0,0.0,0.0,30.0
11,precook-23,2025-12-23T18:24:52.000,200.0,200.0,81.0,0.0,0.0,0.0,30.0
12,precook-23,2025-12-23T18:25:52.000,200.0,200.0,81.0,0.0,0.0,0.0,31.0
13,precook-23,2025-12-23T18:26:52.000,200.0,200.0,82.0,0.0,0.0,0.0,30.0
14,precook-23,2025-12-23T18:27:52.000,200.0,200.0,82.0,0.0,0.0,0.0,31.0
15,precook-23,2025-12-23T18:28:52.000,200.0,200.0,82.0,0.0,0.0,0.0,31.0
16,precook-23,2025-12-23T18:29:52.000,200.0,200.0,83.0,0.0,0.0,0.0,30.0
17,precook-23,2025-12-23T18:30:52.000,200.0,200.0,83.0,0.0,0.0,0.0,29.0
18,precook-23,2025-12-23T18:31:52.000,200.0,200.0,83.0,0.0,0.0,0.0,29.0
19,precook-23,2025-12-23T18:32:52.000,200.0,200.0,83.0,0.0,0.0,0.0,29.0
20,precook-23,2025-12-23T18:33:52.000,200.0,200.0,83.0,0.0,0.0,0.0,28.0
21,precook-23,2025-12-23T18:34:52.000,200.0,200.0,84.0,0.0,0.0,0.0,29.0
22,precook-23,2025-12-23T18:35:52.000,200.0,200.0,84.0,0.0,0.0,0.0,28.0
23,precook-23,2025-12-23T18:36:52.000,200.0,200.0,84.0,0.0,0.0,0.0,29.0
24,precook-23,2025-12-23T18:37:52.000,200.0,200.0,84.0,0.0,0.0,0.0,29.0
25,precook-23,2025-12-23T18:38:52.000,200.0,200.0,84.0,0.0,0.0,0.0,29.0
26,precook-23,2025-12-23T18:39:52.000,200.0,200.0,84.0,7.0,7.0,7.0,28.0
27,precook-23,2025-12-23T18:40:52.000,200.0,200.0,84.0,22.0,29.0,24.0,27.0
28,precook-23,2025-12-23T18:41:52.000,200.0,200.0,85.0,25.0,35.0,27.0,27.0
29,precook-23,2025-12-23T18:42:52.000,200.0,200.0,85.0,27.0,40.0,29.0,27.0
30,precook-23,2025-12-23T18:43:52.000,200.0,200.0,85.0,55.0,110.0,64.0,28.0
31,precook-23,2025-12-23T18:44:52.000,200.0,200.0,86.0,68.0,143.0,81.0,27.0
32,precook-23,2025-12-23T18:45:52.000,200.0,200.0,86.0,72.0,154.0,87.0,28.0
33,precook-23,2025-12-23T18:46:52.000,200.0,200.0,86.0,74.0,159.0,89.0,28.0
34,precook-23,2025-12-23T18:47:52.000,200.0,200.0,87.0,70.0,150.0,84.0,28.0
35,precook-23,2025-12-23T18:48:52.000,200.0,200.0,87.0,68.0,144.0,82.0,28.0
36,precook-23,2025-12-23T18:49:52.000,200.0,200.0,87.0,68.0,143.0,81.0,28.0
37,precook-23,2025-12-23T18:50:52.000,200.0,200.0,88.0,71.0,152.0,86.0,28.0
38,precook-23,2025-12-23T18:51:52.000,200.0,200.0,88.0,68.0,143.0,81.0,28.0
39,precook-23,2025-12-23T18:52:52.000,200.0,200.0,88.0,73.0,158.0,88.0,27.0
40,precook-23,2025-12-23T18:53:52.000,200.0,200.0,88.0,70.0,149.0,84.0,26.0
41,precook-23,2025-12-23T18:54:52.000,200.0,200.0,88.0,73.0,157.0,88.0,27.0
42,precook-23,2025-12-23T18:55:52.000,200.0,200.0,88.0,78.0,170.0,94.0,28.0
43,precook-23,2025-12-23T18:56:53.000,200.0,200.0,89.0,77.0,168.0,93.0,28.0
