,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,aftercook-26,2025-12-27T00:20:22.000,200.0,200.0,87.0,114.0,262.0,140.0,22.0
2,aftercook-26,2025-12-27T00:21:22.000,200.0,200.0,88.0,100.0,225.0,122.0,22.0
3,aftercook-26,2025-12-27T00:22:22.000,200.0,200.0,88.0,98.0,221.0,120.0,22.0
4,aftercook-26,2025-12-27T00:23:22.000,200.0,200.0,88.0,94.0,212.0,115.0,22.0
5,aftercook-26,2025-12-27T00:24:22.000,200.0,200.0,88.0,93.0,207.0,113.0,22.0
6,aftercook-26,2025-12-27T00:25:22.000,200.0,200.0,88.0,87.0,192.0,106.0,22.0
7,aftercook-26,2025-12-27T00:26:22.000,200.0,200.0,88.0,78.0,170.0,95.0,22.0
8,aftercook-26,2025-12-27T00:27:22.000,200.0,200.0,88.0,79.0,172.0,95.0,22.0
9,aftercook-26,2025-12-27T00:28:22.000,200.0,200.0,88.0,72.0,154.0,86.0,22.0
10,aftercook-26,2025-12-27T00:29:22.000,200.0,200.0,89.0,70.0,149.0,84.0,22.0
11,aftercook-26,2025-12-27T00:30:22.000,200.0,200.0,89.0,64.0,133.0,76.0,22.0
12,aftercook-26,2025-12-27T00:31:22.000,200.0,200.0,89.0,63.0,131.0,75.0,22.0
13,aftercook-26,2025-12-27T00:32:22.000,200.0,200.0,89.0,57.0,117.0,68.0,21.0
14,aftercook-26,2025-12-27T00:33:22.000,200.0,200.0,89.0,56.0,113.0,66.0,21.0
15,aftercook-26,2025-12-27T00:34:22.000,200.0,200.0,89.0,56.0,114.0,66.0,21.0
16,aftercook-26,2025-12-27T00:35:22.000,200.0,200.0,89.0,54.0,108.0,63.0,21.0
17,aftercook-26,2025-12-27T00:36:22.000,200.0,200.0,89.0,49.0,95.0,57.0,21.0
18,aftercook-26,2025-12-27T00:37:22.000,200.0,200.0,89.0,49.0,94.0,57.0,21.0
19,aftercook-26,2025-12-27T00:38:22.000,200.0,200.0,89.0,46.0,88.0,54.0,21.0
20,aftercook-26,2025-12-27T00:39:22.000,200.0,200.0,89.0,43.0,80.0,49.0,21.0
21,aftercook-26,2025-12-27T00:40:22.000,200.0,200.0,89.0,45.0,85.0,52.0,21.0
22,aftercook-26,2025-12-27T00:41:22.000,200.0,200.0,89.0,43.0,80.0,49.0,21.0
23,aftercook-26,2025-12-27T00:42:22.000,200.0,200.0,90.0,42.0,77.0,48.0,21.0
24,aftercook-26,2025-12-27T00:43:22.000,200.0,200.0,90.0,38.0,66.0,42.0,21.0
25,aftercook-26,2025-12-27T00:44:22.000,200.0,200.0,90.0,39.0,69.0,44.0,21.0
