,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,aftercook-27,2025-12-27T15:10:07.000,200.0,200.0,80.0,183.0,456.0,237.0,21.0
2,aftercook-27,2025-12-27T15:11:07.000,200.0,200.0,81.0,180.0,448.0,233.0,20.0
3,aftercook-27,2025-12-27T15:12:07.000,200.0,200.0,82.0,169.0,417.0,218.0,20.0
4,aftercook-27,2025-12-27T15:13:07.000,200.0,200.0,82.0,151.0,365.0,192.0,20.0
5,aftercook-27,2025-12-27T15:14:07.000,200.0,200.0,82.0,146.0,351.0,185.0,20.0
6,aftercook-27,2025-12-27T15:15:07.000,200.0,200.0,83.0,143.0,343.0,181.0,19.0
7,aftercook-27,2025-12-27T15:16:07.000,200.0,200.0,83.0,134.0,316.0,167.0,19.0
8,aftercook-27,2025-12-27T15:17:07.000,200.0,200.0,83.0,130.0,303.0,161.0,19.0
9,aftercook-27,2025-12-27T15:18:07.000,200.0,200.0,83.0,124.0,288.0,153.0,19.0
10,aftercook-27,2025-12-27T15:19:07.000,200.0,200.0,83.0,116.0,266.0,142.0,19.0
11,aftercook-27,2025-12-27T15:20:07.000,200.0,200.0,84.0,110.0,252.0,136.0,19.0
12,aftercook-27,2025-12-27T15:21:07.000,200.0,200.0,84.0,104.0,235.0,127.0,19.0
13,aftercook-27,2025-12-27T15:22:07.000,200.0,200.0,84.0,96.0,216.0,118.0,19.0
14,aftercook-27,2025-12-27T15:23:07.000,200.0,200.0,84.0,89.0,199.0,109.0,19.0
15,aftercook-27,2025-12-27T15:24:07.000,200.0,200.0,84.0,89.0,199.0,109.0,18.0
16,aftercook-27,2025-12-27T15:25:07.000,200.0,200.0,84.0,84.0,185.0,102.0,18.0
17,aftercook-27,2025-12-27T15:26:07.000,200.0,200.0,85.0,80.0,176.0,97.0,18.0
18,aftercook-27,2025-12-27T15:27:07.000,200.0,200.0,85.0,82.0,180.0,99.0,18.0
19,aftercook-27,2025-12-27T15:28:07.000,200.0,200.0,85.0,80.0,173.0,96.0,18.0
20,aftercook-27,2025-12-27T15:29:07.000,200.0,200.0,85.0,74.0,160.0,89.0,18.0
