,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,aftercook-25,2025-12-25T23:46:34.000,200.0,200.0,91.0,95.0,214.0,117.0,22.0
2,aftercook-25,2025-12-25T23:47:34.000,200.0,200.0,91.0,110.0,251.0,135.0,21.0
3,aftercook-25,2025-12-25T23:48:34.000,200.0,200.0,92.0,108.0,248.0,133.0,21.0
4,aftercook-25,2025-12-25T23:49:34.000,200.0,200.0,92.0,100.0,226.0,122.0,21.0
5,aftercook-25,2025-12-25T23:50:34.000,200.0,200.0,92.0,95.0,212.0,115.0,21.0
6,aftercook-25,2025-12-25T23:51:34.000,200.0,200.0,92.0,92.0,204.0,112.0,20.0
7,aftercook-25,2025-12-25T23:52:34.000,200.0,200.0,92.0,84.0,185.0,102.0,20.0
8,aftercook-25,2025-12-25T23:53:34.000,200.0,200.0,92.0,78.0,169.0,94.0,20.0
9,aftercook-25,2025-12-25T23:54:34.000,200.0,200.0,92.0,79.0,172.0,96.0,20.0
10,aftercook-25,2025-12-25T23:55:34.000,200.0,200.0,92.0,72.0,154.0,87.0,20.0
11,aftercook-25,2025-12-25T23:56:34.000,200.0,200.0,92.0,81.0,178.0,98.0,20.0
12,aftercook-25,2025-12-25T23:57:34.000,200.0,200.0,92.0,76.0,164.0,92.0,20.0
13,aftercook-25,2025-12-25T23:58:34.000,200.0,200.0,92.0,75.0,161.0,90.0,21.0
14,aftercook-25,2025-12-25T23:59:34.000,200.0,200.0,92.0,74.0,158.0,89.0,20.0
15,aftercook-25,2025-12-26T00:00:34.000,200.0,200.0,92.0,70.0,148.0,83.0,20.0
16,aftercook-25,2025-12-26T00:01:34.000,200.0,200.0,92.0,61.0,127.0,73.0,21.0
17,aftercook-25,2025-12-26T00:02:34.000,200.0,200.0,92.0,60.0,122.0,71.0,20.0
18,aftercook-25,2025-12-26T00:03:34.000,200.0,200.0,92.0,51.0,100.0,60.0,20.0
19,aftercook-25,2025-12-26T00:04:34.000,200.0,200.0,92.0,47.0,90.0,54.0,20.0
20,aftercook-25,2025-12-26T00:05:34.000,200.0,200.0,92.0,44.0,81.0,50.0,20.0
21,aftercook-25,2025-12-26T00:06:34.000,200.0,200.0,92.0,44.0,82.0,51.0,20.0
22,aftercook-25,2025-12-26T00:07:34.000,200.0,200.0,92.0,43.0,80.0,49.0,20.0
